IDENTIFIER,CONCEPT_CODE,DEFINITION,PARENT_IDENTIFIER,VALUE,PUBLIC_ID,SORTORDER
getNextPvId(),,,null,Right Lateral Border of Tongue,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Left Lateral Border of Tongue,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Bilateral Border of Tongue,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Leukoplakia on Tongue,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Verrucous Carcinoma of Tongue,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Adenocarcinoma of Tongue,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Ulcer of Tongue,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Erythroleukoplakia of Tongue,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Right Buccal Mucosa,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Left Buccal Mucosa,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Leukoplakia on Buccal Mucosa,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Ulcer on Buccal Mucosa,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Verrucous Carcinoma of Buccal Mucosa,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Adenocarcinoma of Buccal Mucosa,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Carcinoma of Epiglottis,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Carcinoma of Aryepiglottic Fold,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Carcinoma of Glottis,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Carcinoma of Supraglottis,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Carcinoma of Vocal Cord,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Carcinoma of Hypopharynx,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Carcinoma of Post Cricoid,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Carcinoma of Pyriform Sinus,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Carcinoma of Post Pharyngeal Wall,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Carcinoma of Right Oropharynx,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Carcinoma of Left Oropharynx,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Carcinoma of Soft Palate,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Leukoplakia of Soft Palate,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Adeno Carcinoma of Soft Palate,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Base of Tongue(Vallecula),Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Carcinoma of Tonsil,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Carcinoma of Posterior Wall,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Carcinoma of Uvula,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Tonillar Pillar,Clinical_Diagnosis_PID,null
getNextPvId(),,,null,Carcinoma of Right Nasopharynx,Clinical_Diagnosis_PID,null
