IDENTIFIER,CONCEPT_CODE,DEFINITION,PARENT_IDENTIFIER,VALUE,PUBLIC_ID,SORTORDER
getNextPvId(),,,null,"8000/1 Neoplasm, uncertain whether benign or malignant",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8000/3 Neoplasm, malignant",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8000/6 Neoplasm, metastatic",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8001/0 Tumour cells, benign",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8001/1 Tumour cells, uncertain whether benign or malignant",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8001/3 Tumour cells, malignant",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8002/3 Malignant tumour, small cell type",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8003/3 Malignant tumour, giant cell type",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8004/3 Malignant tumour, spindle cell type",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8005/0 Clear cell tumour, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8005/3 Malignant tumour, clear cell type",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8010/0 Epithelial tumour, benign",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8010/2 Carcinoma in situ, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8010/3 Carcinoma, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8010/6 Carcinoma, metastatic, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8011/3 Epithelioma, malignant",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8012/3 Large cell carcinoma, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8013/3 Large cell neuroendocrine carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8014/3 Large cell carcinoma with rhabdoid phenotype,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8015/3 Glassy cell carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8020/3 Carcinoma, undifferentiated type, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8021/3 Carcinoma, anaplastic type, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8022/3 Pleomorphic carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8030/3 Giant cell and spindle cell carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8031/3 Giant cell carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8032/3 Spindle cell carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8033/3 Pseudosarcomatous carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8034/3 Polygonal cell carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8035/3 Carcinoma with osteoclast-like giant cells,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8041/3 Small cell carcinoma, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8042/3 Oat cell carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8043/3 Small cell carcinoma, fusiform cell",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8044/3 Small cell carcinoma, intermediate cell",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8045/3 Combined small cell carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8046/3 Non-small cell carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8050/0 Papilloma, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8050/2 Papillary carcinoma in situ,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8050/3 Papillary carcinoma, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8051/3 Verrucous carcinoma, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8052/0 Squamous cell papilloma, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8052/2 Papillary squamous cell carcinoma, non-invasive",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8052/3 Papillary squamous cell carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8070/2 Squamous cell carcinoma in situ, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8070/3 Squamous cell carcinoma, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8070/6 Squamous cell carcinoma, metastatic, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8071/2 Squamous cell carcinoma, keratinizing, NOS, in situ",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8071/3 Squamous cell carcinoma, keratinizing, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8072/2 Squamous cell carcinoma, large cell, non-keratinizing, in situ",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8072/3 Squamous cell carcinoma, large cell, non-keratinizing, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8073/3 Squamous cell carcinoma, small cell, non-keratinizing",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8074/3 Squamous cell carcinoma, spindle cell",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8075/3 Squamous cell carcinoma, adenoid",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8076/2 Squamous cell carcinoma in situ with questionable stromal invasion,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8076/3 Squamous cell carcinoma, micro-invasive",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8077/2 Squamous intraepithelial neoplasia, grade III",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8078/3 Squamous cell carcinoma with horn formation,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8080/2 Queyrat erythroplasia,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8081/2 Bowen disease,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8082/3 Lymphoepithelial carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8083/3 Basaloid squamous cell carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8084/3 Squamous cell carcinoma, clear cell type",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8090/3 Basal cell carcinoma, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8091/3 Multifocal superficial basal cell carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8092/3 Infiltrating basal cell carcinoma, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8093/3 Basal cell carcinoma, fibroepithelial",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8094/3 Basosquamous carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8095/3 Metatypical carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8097/3 Basal cell carcinoma, nodular",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8098/3 Adenoid basal cell carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8102/3 Trichilemmocarcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8110/3 Pilomatrix carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8120/1 Urothelial papilloma, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8120/2 Transitional cell carcinoma in situ,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8120/3 Transitional cell carcinoma, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8121/0 Schneiderian papilloma, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8121/3 Schneiderian carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8122/3 Trans. cell carcinoma, spindle cell",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8123/3 Basaloid carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8124/3 Cloacogenic carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8130/1 Papillary transitional cell neoplasm of low malignant potential,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8130/2 Papillary transitional cell carcinoma, non-invasive",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8130/3 Papillary transitional cell carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8131/3 Transitional cell carcinoma, micropapillary",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8140/0 Adenoma, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8140/2 Adenocarcinoma in situ, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8140/3 Adenocarcinoma, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8140/6 Adenocarcinoma, metastatic, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8141/3 Scirrhous adenocarcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8142/3 Linitis plastica,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8143/3 Superficial spreading adenocarcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8144/3 Adenocarcinoma, intestinal type",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8145/3 Carcinoma, diffuse type",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8146/0 Monomorphic adenoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8147/3 Basal cell adenocarcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8148/2 Glandular intraepithelial neoplasia, grade III",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8150/0 Islet cell adenoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8150/3 Islet cell carcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8151/3 Insulinoma, malignant",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8152/3 Glucagonoma, malignant",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8153/3 Gastrinoma, malignant",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8154/3 Mixed islet cell & exocrine adenocarcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8155/3 Vipoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8156/3 Somatostatinoma, malignant",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8157/3 Enteroglucagonoma, malignant",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8160/3 Cholangiocarcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8161/3 Bile duct cystadenocarcinoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8162/3 Klatskin tumour,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,8170/0 Liver cell adenoma,Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8170/3 Hepatocellular carcinoma, NOS",Clinical_Diagnosis_PID,0
getNextPvId(),,,null,"8171/3 Hepatocellular carcinoma, fibrolamellar",Clinical_Diagnosis_PID,0
getNextPvId(),3/1/9871,,null,"8172/3 Hepatocellular carcinoma, scirrhous",Clinical_Diagnosis_PID,0
getNextPvId(),8280/0,,null,"8173/3 Hepatocellular carcinoma, spindle cell variant",Clinical_Diagnosis_PID,0
