IDENTIFIER,CONCEPT_CODE,DEFINITION,PARENT_IDENTIFIER,VALUE,PUBLIC_ID,SORTORDER
getNextPvId(),,,null,Acehnese,Ethnicity_PID,0
getNextPvId(),,,null,Afar,Ethnicity_PID,0
getNextPvId(),,,null,Afghan,Ethnicity_PID,0
getNextPvId(),,,null,African American,Ethnicity_PID,0
getNextPvId(),,,null,Africaner,Ethnicity_PID,0
getNextPvId(),,,null,Akan,Ethnicity_PID,0
getNextPvId(),,,null,Albanian,Ethnicity_PID,0
getNextPvId(),,,null,Algerian,Ethnicity_PID,0
getNextPvId(),,,null,Amercian,Ethnicity_PID,0
getNextPvId(),,,null,Amhara,Ethnicity_PID,0
getNextPvId(),,,null,Anglo-Burmese,Ethnicity_PID,0
getNextPvId(),,,null,Anglo-Indian,Ethnicity_PID,0
getNextPvId(),,,null,Angolan,Ethnicity_PID,0
getNextPvId(),,,null,Arab,Ethnicity_PID,0
getNextPvId(),,,null,Argentinian,Ethnicity_PID,0
getNextPvId(),,,null,Armenian,Ethnicity_PID,0
getNextPvId(),,,null,Assyrian/Chaldean,Ethnicity_PID,0
getNextPvId(),,,null,Australian,Ethnicity_PID,0
getNextPvId(),,,null,Australian Aborginal,Ethnicity_PID,0
getNextPvId(),,,null,Australian South Sea Islander,Ethnicity_PID,0
getNextPvId(),,,null,Austrian,Ethnicity_PID,0
getNextPvId(),,,null,Azeri,Ethnicity_PID,0
getNextPvId(),,,null,Balinese,Ethnicity_PID,0
getNextPvId(),,,null,Barbadian,Ethnicity_PID,0
getNextPvId(),,,null,Basque,Ethnicity_PID,0
getNextPvId(),,,null,Batswana,Ethnicity_PID,0
getNextPvId(),,,null,Belarusan,Ethnicity_PID,0
getNextPvId(),,,null,Belgian,Ethnicity_PID,0
getNextPvId(),,,null,Bengali,Ethnicity_PID,0
getNextPvId(),,,null,Berber,Ethnicity_PID,0
getNextPvId(),,,null,Bermudan,Ethnicity_PID,0
getNextPvId(),,,null,Bolivian,Ethnicity_PID,0
getNextPvId(),,,null,Bosnian,Ethnicity_PID,0
getNextPvId(),,,null,Brazilian,Ethnicity_PID,0
getNextPvId(),,,null,British,Ethnicity_PID,0
getNextPvId(),,,null,Bruneian,Ethnicity_PID,0
getNextPvId(),,,null,Bulgarian,Ethnicity_PID,0
getNextPvId(),,,null,Burgher,Ethnicity_PID,0
getNextPvId(),,,null,Burmese,Ethnicity_PID,0
getNextPvId(),,,null,Canadian,Ethnicity_PID,0
getNextPvId(),,,null,Caribbean Islander,Ethnicity_PID,0
getNextPvId(),,,null,Catalan,Ethnicity_PID,0
getNextPvId(),,,null,Central American,Ethnicity_PID,0
getNextPvId(),,,null,Central and West African,Ethnicity_PID,0
getNextPvId(),,,null,Central Asian,Ethnicity_PID,0
getNextPvId(),,,null,Channel Islander,Ethnicity_PID,0
getNextPvId(),,,null,Chilean,Ethnicity_PID,0
getNextPvId(),,,null,Chinese,Ethnicity_PID,0
getNextPvId(),,,null,Colombian,Ethnicity_PID,0
getNextPvId(),,,null,Cook Islander,Ethnicity_PID,0
getNextPvId(),,,null,Coptic,Ethnicity_PID,0
getNextPvId(),,,null,Costa Rican,Ethnicity_PID,0
getNextPvId(),,,null,Croatian,Ethnicity_PID,0
getNextPvId(),,,null,Cuban,Ethnicity_PID,0
getNextPvId(),,,null,Cypriot,Ethnicity_PID,0
getNextPvId(),,,null,Czech,Ethnicity_PID,0
getNextPvId(),,,null,Danish,Ethnicity_PID,0
getNextPvId(),,,null,Dinka,Ethnicity_PID,0
getNextPvId(),,,null,Dutch,Ethnicity_PID,0
getNextPvId(),,,null,Eastern European,Ethnicity_PID,0
getNextPvId(),,,null,Ecuadorian,Ethnicity_PID,0
getNextPvId(),,,null,Egyptian,Ethnicity_PID,0
getNextPvId(),,,null,English,Ethnicity_PID,0
getNextPvId(),,,null,Eritrean,Ethnicity_PID,0
getNextPvId(),,,null,Estonian,Ethnicity_PID,0
getNextPvId(),,,null,Ethiopiean,Ethnicity_PID,0
