IDENTIFIER,CONCEPT_CODE,DEFINITION,PARENT_IDENTIFIER,VALUE,PUBLIC_ID,SORTORDER
5018,,,1,DNA,null,0
5019,,,1,RNA,null,0
5020,,,1,ctDNA,null,0
5021,,,1,Not Specified,null,0
5022,,,4,Fresh Tissue,null,0
5023,,,4,Snap Frozen,null,0
5024,,,4,OCT Block,null,0
5025,,,4,OCT Slide,null,0
5026,,,4,FFPE Block,null,0
5027,,,4,ETOH-Fixed Paraffin Block,null,0
5028,,,4,Microdissected,null,0
5029,,,4,Tissue Micro Array,null,0
5030,,,4,Not Specified,null,0
5031,,,4,FFPE Slide,null,0
5032,,,4,Ethanol Fixed Paraffin Slide,null,0
5033,,,4,FFPE H&E Slide,null,0
5034,,,4,Ethanol Fixed Paraffin H&E Slide,null,0
5035,,,3,Whole Blood,null,0
5036,,,3,Whole Bone Marrow,null,0
5037,,,3,Serum,null,0
5038,,,3,Plasma,null,0
5039,,,3,Bone Marrow Plasma,null,0
5040,,,3,Buffy Coat,null,0
5041,,,3,Buffy Coat without DMSO,null,0
5042,,,3,Buffy Coat with DMSO,null,0
5043,,,3,PBMNC,null,0
5044,,,3,MNC Bone Marrow,null,0
5045,,,3,Ascites,null,0
5046,,,3,Urine,null,0
5047,,,3,EBUS,null,0
5048,,,3,FNA rinse in PBS,null,0
5049,,,3,FNA,null,0
5050,,,3,Not Specified,null,0
5051,,,2,PBMNC,null,0
5052,,,2,Blood Pellet,null,0
5053,,,2,MNC Bone Marrow with Trizol,null,0
5054,,,2,Not Specified,null,0
109001,,,null,No Additive Vacutainer,2003997,0
109002,,,null,Serum Separator Vacutainer,2003997,0
109003,,,null,EDTA Vacutainer,2003997,0
109004,,,null,Citrate Vacutainer,2003997,0
109005,,,null,ACD Vacutainer,2003997,0
109006,,,null,Heparin Vacutainer,2003997,0
109007,,,null,Sterile Specimen Container,2003997,0
109008,,,null,CPT Tiger Top Vacutainer,2003997,0
109009,,,null,P-Citrate Vacutainer,2003997,0
109010,,,null,P-Heparin Vacutainer,2003997,0
